id,url,name,likes,category,latitude,longitude
1264,https://www.facebook.com/enpleinband/,,,,,
1265,https://www.facebook.com/revolutionlarino/,,,,,
1266,https://www.facebook.com/lasvegasclubsantacroce/,,,,,
1267,https://www.facebook.com/Peterpanpub-168334727259262/,,,,,
1268,https://www.facebook.com/salvatore.pertosa.3/,,,,,
1269,https://www.facebook.com/colorado.bar/,,,,,
1270,https://www.facebook.com/caffetteriavdamico/,,,,,
1273,https://www.facebook.com/silosbar.it/,,,,,
1274,https://www.facebook.com/sax.bar.121/,,,,,
1276,https://www.facebook.com/orsaradipuglia/,,,,,
1280,https://www.facebook.com/TeatroDelPollaio/,,,,,
1281,https://www.facebook.com/leonebeercompany/,,,,,
1282,https://www.facebook.com/camarogiu/,,,,,
1283,https://www.facebook.com/laRotondaBar/,,,,,
1284,https://www.facebook.com/costamarinapeschici/,,,,,
1295,https://www.facebook.com/goldencafefoggiait/,,,,,
1298,https://www.facebook.com/BarCentrale1948/,,,,,
1299,https://www.facebook.com/macaocoffeebrak/,,,,,
1300,https://www.facebook.com/bartrattoriadatonino/,,,,,
1315,https://www.facebook.com/donaldcafe/,,,,,
1316,https://www.facebook.com/elbarriocafe/,,,,,
1317,https://www.facebook.com/elbarriocafe/,,,,,
1318,https://www.facebook.com/pizzeria.giorgia/,,,,,
1319,https://www.facebook.com/JUMPAQUILONIA/,,,,,
1320,https://www.facebook.com/eugeniumpotenza/,,,,,
1323,https://www.facebook.com/NOIperBISACCIA/,,,,,
1324,https://www.facebook.com/paola.maiellare.7/,,,,,
1325,https://www.facebook.com/caffe67/,,,,,
1330,https://www.facebook.com/maitunat/,,,,,
1331,https://www.facebook.com/TamaroMichele/,,,,,
1340,https://www.facebook.com/arch.carolinafavilla/,,,,,
1341,https://www.facebook.com/Evergreen-2018-1806219026340087/,,,,,
1343,https://www.facebook.com/jazzincampodipietra/,,,,,
1344,https://www.facebook.com/cuparelle/,,,,,
1346,https://www.facebook.com/bararcobalenoriccia/,,,,,
1347,https://www.facebook.com/relaissanmarco/,,,,,
1348,https://www.facebook.com/BarGiada.PortaLucera/,,,,,
1349,https://www.facebook.com/sanamanzio/,,,,,
1350,https://www.facebook.com/kissbartabacchiriccia/,,,,,
1354,https://www.facebook.com/birrercole/,,,,,
1355,https://www.facebook.com/Musicheria-The-Alchemist-Pub-1443946212349244/,,,,,
1356,https://www.facebook.com/lostrettoiopub/,,,,,
1357,https://www.facebook.com/TripleRPub/,,,,,
1358,https://www.facebook.com/birrercole/,,,,,
1359,https://www.facebook.com/rockinCastelfiorentino/,,,,,
1360,https://www.facebook.com/noxempoli/,,,,,
1361,https://www.facebook.com/thetwoofusontheroad/,,,,,
1362,https://www.facebook.com/birra.brunz/,,,,,
1363,https://www.facebook.com/Punto-pub-788244767866886/,,,,,
1364,https://www.facebook.com/ChaletDiSanMiniato/,,,,,
1365,https://www.facebook.com/8bitArtLab/,,,,,
1366,https://www.facebook.com/DjValeMoody/,,,,,
1367,https://www.facebook.com/Monnalisa-pub-259261767551276/,,,,,
1368,https://www.facebook.com/lmnfucecchio/,,,,,
1369,https://www.facebook.com/rossodiseragambassi/,,,,,
1370,https://www.facebook.com/supremebargelateria/,,,,,
1845,https://www.facebook.com/pubduepiuuno/,,,,,
1846,https://www.facebook.com/LINCOLNbirreriaepub/,,,,,
1847,https://www.facebook.com/12morsicaserta/,,,,,
1848,https://www.facebook.com/bobo52montesarchio/,,,,,
1849,https://www.facebook.com/officinecova/,,,,,
1850,https://www.facebook.com/baffonecaserta/,,,,,
1851,https://www.facebook.com/SirDukepub/,,,,,
1852,https://www.facebook.com/cluricaun.caserta/,,,,,
1862,https://www.facebook.com/lujys.bar/,,,,,
1863,https://www.facebook.com/barnicopastoressa/,,,,,
1864,https://www.facebook.com/barviolabari/,,,,,
1865,https://www.facebook.com/rosalia.sette.5/,,,,,
1866,https://www.facebook.com/andyhavlikpatisserie/,,,,,
1867,https://www.facebook.com/NOISEBREWERY/,,,,,
1868,https://www.facebook.com/ilpiccolocorso/,,,,,
1869,https://www.facebook.com/deliciouscafemodugno/,,,,,
1870,https://www.facebook.com/mercurevillaromanazzicarduccibari/,,,,,
1886,https://www.facebook.com/eurob71/,,,,,
1887,https://www.facebook.com/BlackLoungeBar/,,,,,
1888,https://www.facebook.com/pasqualemastro88/,,,,,
1889,https://www.facebook.com/bargelateriailgabbiano/,,,,,
1900,https://www.facebook.com/barplazacasamassima/,,,,,
1901,https://www.facebook.com/BirreriaTerzoTempo/,,,,,
1902,https://www.facebook.com/bar.ciccimarra/,,,,,
1904,https://www.facebook.com/BarFilly/,,,,,
1905,https://www.facebook.com/Levantecaffe/,,,,,
1961,https://www.facebook.com/BarRendezVousRUVODIPUGLIA/,,,,,
1962,https://www.facebook.com/MamaMiaBar/,,,,,
1972,https://www.facebook.com/caffe.roma.14/,,,,,
1973,https://www.facebook.com/navamassimo50/,,,,,
1974,https://www.facebook.com/bocamusicbar/,,,,,
1975,https://www.facebook.com/BarmilanMonopoli/,,,,,
1976,https://www.facebook.com/labodegadeangelina/,,,,,
1977,https://www.facebook.com/deeg.rado.5/,,,,,
1981,https://www.facebook.com/tealaziadilorenzo/,,,,,
107,https://www.facebook.com/club77barletta/,,,,,
108,https://www.facebook.com/OnicotecnicaMaryNails/,,,,,
109,https://www.facebook.com/futuroarcaicoarchivio/,,,,,
